batch_size,epochs,learning_rate,num_conv_blocks,filters,kernel_size,use_batchnorm,dropout_rate,dense_units,best_val_accuracy,best_train_accuracy,train_mse,test_mse
32,100,0.0005,3,32_64_128,3,True,0.0,32,0.769699990749359,0.94651997089386,0.0137395114617635,0.0357167865718536
32,100,0.0005,3,32_64_128,3,True,0.0,64_32,0.762799978256226,0.922599971294403,0.012219597607858,0.0351552010038544
32,100,0.0005,3,32_64_128,3,True,0.3,32,0.764900028705597,0.727299988269806,0.0277080853245135,0.032541295468953
32,100,0.0005,3,32_64_128,3,True,0.3,64_32,0.720899999141693,0.680400013923645,0.0356625218714131,0.0387030296511434
32,100,0.0005,3,32_64_128,3,False,0.0,32,0.756600022315979,0.841419994831085,0.0232497038672908,0.0344951884935831
32,100,0.0005,3,32_64_128,3,False,0.0,64_32,0.768899977207184,0.886979997158051,0.0196048475339988,0.0334890944115039
32,100,0.0005,3,32_64_128,3,False,0.3,32,0.757799983024597,0.717379987239838,0.028083756478514,0.0338034699009845
32,100,0.0005,3,32_64_128,3,False,0.3,64_32,0.756600022315979,0.726679980754852,0.0276264468459092,0.0337066380981989
32,100,0.0005,3,32_64_128,5,True,0.0,32,0.779399991035461,0.996779978275299,0.0023743528442545,0.0347245531423804
32,100,0.0005,3,32_64_128,5,True,0.0,64_32,0.773899972438812,0.978980004787445,0.0081270577978877,0.0342601923689743
32,100,0.0005,3,32_64_128,5,True,0.3,32,0.818700015544891,0.792620003223419,0.0170624692679406,0.0256488105151207
32,100,0.0005,3,32_64_128,5,True,0.3,64_32,0.819700002670288,0.793179988861084,0.0169333352134804,0.0261063399136605
32,100,0.0005,3,32_64_128,5,False,0.0,32,0.761600017547607,0.93614000082016,0.0251699862207104,0.0358912087019062
32,100,0.0005,3,32_64_128,5,False,0.0,64_32,0.75629997253418,0.960720002651215,0.0246758170019039,0.0370969289285978
32,100,0.0005,3,32_64_128,5,False,0.3,32,0.804000020027161,0.825500011444092,0.0127425859489555,0.0278160241408331
32,100,0.0005,3,32_64_128,5,False,0.3,64_32,0.797599971294403,0.816940009593964,0.0154696025510928,0.0287688527209009
64,50,0.001,1,32,3,True,0.0,32,0.545400023460388,0.548420011997223,0.0579825366178441,0.0591273641387295
64,50,0.001,1,32,3,True,0.0,64_32,0.580699980258942,0.578740000724793,0.0534670133291355,0.0556507969764594
64,50,0.001,1,32,3,True,0.3,32,0.501600027084351,0.46382001042366,0.0630052360259039,0.0637343901676552
64,50,0.001,1,32,3,True,0.3,64_32,0.515999972820282,0.48157998919487,0.0603433552528646,0.0618494578936716
64,50,0.001,1,32,3,False,0.0,32,0.462799996137619,0.466019988059998,0.0667689275534947,0.0673098430449471
64,50,0.001,1,32,3,False,0.0,64_32,0.496699988842011,0.503480017185211,0.0629117261269368,0.0638395333721201
64,50,0.001,1,32,3,False,0.3,32,0.432700008153915,0.397740006446838,0.0701290831311377,0.0703080140844213
64,50,0.001,1,32,3,False,0.3,64_32,0.472799986600876,0.432900011539459,0.0662047316010083,0.0666622524266893
64,50,0.001,1,32,5,True,0.0,32,0.5692999958992,0.569339990615845,0.0551952080591766,0.0563590817635563
64,50,0.001,1,32,5,True,0.0,64_32,0.589399993419647,0.593760013580322,0.0518378662651493,0.0543059097928778
64,50,0.001,1,32,5,True,0.3,32,0.51690000295639,0.483200013637543,0.0610588801884761,0.0617993709148336
64,50,0.001,1,32,5,True,0.3,64_32,0.519200026988983,0.482919991016388,0.0607661464470695,0.0616054003544839
64,50,0.001,1,32,5,False,0.0,32,0.497200012207031,0.502120018005371,0.0637804689456902,0.0645712749437236
64,50,0.001,1,32,5,False,0.0,64_32,0.509299993515015,0.518119990825653,0.0619247371995353,0.0629861797659447
64,50,0.001,1,32,5,False,0.3,32,0.446700006723404,0.400979995727539,0.0690171961765371,0.0693102250610811
64,50,0.001,1,32,5,False,0.3,64_32,0.490500003099441,0.459679991006851,0.0635132068670897,0.0642188699797513
64,50,0.001,2,32_64,3,True,0.0,32,0.721400022506714,0.78329998254776,0.0286541958599488,0.0384699453165605
64,50,0.001,2,32_64,3,True,0.0,64_32,0.716099977493286,0.780219972133637,0.0286212589820405,0.0391362718557949
64,50,0.001,2,32_64,3,True,0.3,32,0.648100018501282,0.620379984378815,0.045245639617335,0.0469451028050377
64,50,0.001,2,32_64,3,True,0.3,64_32,0.626699984073639,0.600759983062744,0.0479851203877445,0.0497958303427627
64,50,0.001,2,32_64,3,False,0.0,32,0.653800010681152,0.673380017280579,0.0442077634856319,0.04691613086045
